Number of Stops,Stops,Wheat Delivered (kg)
2,"20,53",53
3,"1,20,53",53
3,"2,20,53",53
3,"3,20,53",53
3,"4,20,53",53
3,"5,20,53",53
3,"6,20,53",53
3,"7,20,53",53
3,"8,20,53",53
3,"9,20,53",53
3,"20,53,87",53
3,"20,53,88",53
3,"20,53,89",53
3,"20,53,90",53
3,"20,53,91",53
3,"20,53,92",53
3,"20,53,93",53
3,"20,53,94",53
3,"20,53,95",53
3,"20,53,96",53
3,"20,53,97",53
3,"20,53,98",53
3,"20,53,99",53
4,"1,3,20,53",53
4,"1,4,20,53",53
4,"1,5,20,53",53
4,"1,6,20,53",53
4,"1,7,20,53",53
4,"1,8,20,53",53
4,"1,9,20,53",53
4,"1,10,20,53",53
4,"1,20,53,87",53
4,"1,20,53,88",53
4,"1,20,53,89",53
4,"1,20,53,90",53
4,"1,20,53,91",53
4,"1,20,53,92",53
4,"1,20,53,93",53
4,"1,20,53,94",53
4,"1,20,53,95",53
4,"1,20,53,96",53
4,"1,20,53,97",53
4,"1,20,53,98",53
4,"1,20,53,99",53
4,"2,5,20,53",53
4,"2,6,20,53",53
4,"2,7,20,53",53
4,"2,8,20,53",53
4,"2,9,20,53",53
4,"2,10,20,53",53
4,"2,20,53,87",53
4,"2,20,53,88",53
4,"2,20,53,89",53
4,"2,20,53,90",53
4,"2,20,53,91",53
4,"2,20,53,92",53
4,"2,20,53,93",53
4,"2,20,53,94",53
4,"2,20,53,95",53
4,"2,20,53,96",53
4,"2,20,53,97",53
4,"2,20,53,98",53
4,"2,20,53,99",53
4,"3,7,20,53",53
4,"3,8,20,53",53
4,"3,9,20,53",53
4,"3,10,20,53",53
4,"3,11,20,53",53
4,"3,20,53,87",53
4,"3,20,53,88",53
4,"3,20,53,89",53
4,"3,20,53,90",53
4,"3,20,53,91",53
4,"3,20,53,92",53
4,"3,20,53,93",53
4,"3,20,53,94",53
4,"3,20,53,95",53
4,"3,20,53,96",53
4,"3,20,53,97",53
4,"3,20,53,98",53
4,"3,20,53,99",53
4,"4,9,20,53",53
4,"4,10,20,53",53
4,"4,11,20,53",53
4,"4,20,53,87",53
4,"4,20,53,88",53
4,"4,20,53,89",53
4,"4,20,53,90",53
4,"4,20,53,91",53
4,"4,20,53,92",53
4,"4,20,53,93",53
4,"4,20,53,94",53
4,"4,20,53,95",53
4,"4,20,53,96",53
4,"4,20,53,97",53
4,"4,20,53,98",53
4,"4,20,53,99",53
4,"5,11,20,53",53
4,"5,12,20,53",53
4,"5,20,36,53",53
4,"5,20,53,87",53
4,"5,20,53,88",53
4,"5,20,53,89",53
4,"5,20,53,90",53
4,"5,20,53,91",53
4,"5,20,53,92",53
4,"5,20,53,93",53
4,"5,20,53,94",53
4,"5,20,53,95",53
4,"5,20,53,96",53
4,"5,20,53,97",53
4,"5,20,53,98",53
4,"5,20,53,99",53
4,"6,20,35,53",53
4,"6,20,36,53",53
4,"6,20,53,87",53
4,"6,20,53,88",53
4,"6,20,53,89",53
4,"6,20,53,90",53
4,"6,20,53,91",53
4,"6,20,53,92",53
4,"6,20,53,93",53
4,"6,20,53,94",53
4,"6,20,53,95",53
4,"6,20,53,96",53
4,"6,20,53,97",53
4,"6,20,53,98",53
4,"6,20,53,99",53
4,"7,20,34,53",53
4,"7,20,35,53",53
4,"7,20,36,53",53
4,"7,20,53,87",53
4,"7,20,53,88",53
4,"7,20,53,89",53
4,"7,20,53,90",53
4,"7,20,53,91",53
4,"7,20,53,92",53
4,"7,20,53,93",53
4,"7,20,53,94",53
4,"7,20,53,95",53
4,"7,20,53,96",53
4,"7,20,53,97",53
4,"7,20,53,98",53
4,"7,20,53,99",53
4,"8,20,33,53",53
4,"8,20,34,53",53
4,"8,20,35,53",53
